Date,Open,High,Low,Close
2020-03-02 13:30,978.9,978.9,978.9,978.9
2020-03-02 13:15,982.79,982.84,978.34,978.63
2020-03-02 13:00,983.28,983.46,981.04,982.82
2020-03-02 12:45,981.75,983.3,981.6,983.27
2020-03-02 12:30,980.73,983.07,980.73,981.91
2020-03-02 12:15,981.87,981.87,979.57,980.62
2020-03-02 12:00,983.56,983.73,981.45,981.74
2020-03-02 11:45,981.62,983.62,980.73,983.42
2020-03-02 11:30,979.99,982.38,979.03,981.39
2020-03-02 11:15,979.12,980.42,978.42,979.38
2020-03-02 11:00,974.7,978.96,974.09,978.96
2020-03-02 10:45,972.93,976.24,972.93,974.97
2020-03-02 10:30,969.37,973.11,967.08,973.11
2020-03-02 10:15,970.73,970.73,965.74,969.03
2020-03-02 10:00,967.54,970.4,965.69,970.4
2020-03-02 9:45,969.36,971.98,967.24,967.78
2020-03-02 9:30,975.89,975.89,966.46,969.41
2020-02-28 16:15,972.15,972.15,972.15,972.15
2020-02-28 16:00,972.27,972.27,972.15,972.15
2020-02-28 15:45,959.4,972.63,959.4,972.63
2020-02-28 15:30,960.37,963.08,959.36,959.57
2020-02-28 15:15,962.9,966.28,960.87,960.87
2020-02-28 15:00,965.02,965.8,962.07,962.51
2020-02-28 14:45,970.04,970.08,964.34,964.67
2020-02-28 14:30,962.88,969.84,962.88,969.84
2020-02-28 14:15,962.5,965.56,961.98,962.77
2020-02-28 14:00,962.54,962.9,961.12,962.65
2020-02-28 13:45,962.24,962.56,960.72,962.42
2020-02-28 13:30,966.65,966.65,962.48,962.58
2020-02-28 13:15,967.7,970.01,966.94,966.94
2020-02-28 13:00,970.91,972.47,967.93,967.93
2020-02-28 12:45,967.83,970.95,965.86,970.56
2020-02-28 12:30,967.62,969.61,966.09,967.83
2020-02-28 12:15,963.55,967.47,962.23,967.47
2020-02-28 12:00,964.58,965.11,961.53,963.4
2020-02-28 11:45,971.45,971.45,963.81,964.29
2020-02-28 11:30,959.83,972.49,959.16,971.69
2020-02-28 11:15,954.09,959.57,954.09,959.25
2020-02-28 11:00,954.49,955.23,952.31,953.8
2020-02-28 10:45,952.16,957.49,951.2,955.47
2020-02-28 10:30,950.04,955.42,950.04,952.56
2020-02-28 10:15,950.73,955.7,949.97,951.87
2020-02-28 10:00,954.81,956.29,950.18,950.89
2020-02-28 9:45,966.38,966.95,953.75,954.7
2020-02-28 9:30,966.68,973.07,963.47,966.25
2020-02-27 15:15,997.73,997.73,997.73,997.73
2020-02-27 15:00,997.73,997.73,997.73,997.73
2020-02-27 14:45,997.73,997.73,997.73,997.73
2020-02-27 14:30,997.73,997.73,997.73,997.73
2020-02-27 14:15,997.73,997.73,997.73,997.73
2020-02-27 14:00,997.73,997.73,997.73,997.73
2020-02-27 13:45,996.77,997.96,996.77,997.73
2020-02-27 13:30,999.26,999.32,996.59,996.93
2020-02-27 13:15,1002.66,1002.66,999.33,999.33
2020-02-27 13:00,1000.8,1002.98,1000.27,1002.64
2020-02-27 12:45,1002.44,1003.57,1001.04,1001.1
2020-02-27 12:30,1000.05,1003.24,1000.05,1002.6
2020-02-27 12:15,1000.18,1000.18,997.81,1000.01
2020-02-27 12:00,995.95,1000.01,995.9,1000.01
2020-02-27 11:45,992.97,996.08,991.91,996.08
2020-02-27 11:30,992.32,994,991.92,993.11
2020-02-27 11:15,993.31,995.68,992.79,992.86
2020-02-27 11:00,990.18,994.32,989.97,992.77
2020-02-27 10:45,984.97,990.72,984.97,989.83
2020-02-27 10:30,987.74,987.74,982.18,985.32
2020-02-27 10:15,993.73,993.73,987.35,987.35
2020-02-27 10:00,995.06,995.88,992.49,994.01
2020-02-27 9:45,994.98,997.19,990.47,994.82
2020-02-27 9:30,1002.32,1002.32,995,995.13
2020-02-26 16:15,1016.17,1016.17,1016.17,1016.17
2020-02-26 16:00,1016.17,1016.17,1016.17,1016.17
2020-02-26 15:45,1018.1,1018.1,1016.22,1016.22
2020-02-26 15:30,1016.22,1017.9,1015.54,1017.9
2020-02-26 15:15,1017.96,1019.37,1016.2,1016.54
2020-02-26 15:00,1016.91,1018.74,1016.53,1017.97
2020-02-26 14:45,1017.54,1019.18,1016.86,1016.88
2020-02-26 14:30,1019.3,1019.92,1017.23,1017.44
2020-02-26 14:15,1020.85,1020.99,1019.09,1019.57
2020-02-26 14:00,1018.79,1020.68,1018.28,1020.58
2020-02-26 13:45,1018.47,1021.56,1018.3,1018.77
2020-02-26 13:30,1023.65,1023.65,1018.46,1018.65
2020-02-26 13:15,1023.77,1024.2,1023.02,1023.65
2020-02-26 13:00,1025.36,1025.65,1023.73,1023.73
2020-02-26 12:45,1025.09,1026.84,1024.52,1025.47
2020-02-26 12:30,1024.11,1025.76,1024.11,1025.18
2020-02-26 12:15,1022.94,1023.86,1021.56,1023.6
2020-02-26 12:00,1027.7,1027.81,1022.74,1022.89
2020-02-26 11:45,1030.53,1030.53,1027.85,1027.85
2020-02-26 11:30,1030.48,1031.66,1029.79,1030.57
2020-02-26 11:15,1027.6,1030.56,1027.6,1030.44
2020-02-26 11:00,1028.84,1028.99,1026.99,1027.62
2020-02-26 10:45,1028.19,1029.28,1028.08,1029
2020-02-26 10:30,1024.29,1028.08,1024.29,1028.08
2020-02-26 10:15,1024.84,1026.72,1024.66,1024.96
2020-02-26 10:00,1024,1024.87,1023.15,1024.87
2020-02-26 9:45,1030.75,1030.75,1023.92,1024.52
2020-02-26 9:30,1022.54,1031.1,1022.54,1030.65
2020-02-25 16:15,1023.72,1023.72,1023.72,1023.72
2020-02-25 16:00,1023.72,1023.72,1023.72,1023.72
2020-02-25 15:45,1023.56,1024.73,1023.02,1023.43
2020-02-25 15:30,1022.44,1023.61,1020.1,1023.47
2020-02-25 15:15,1023.77,1024.74,1022.03,1022.71
2020-02-25 15:00,1024.08,1026.29,1023.72,1023.81
2020-02-25 14:45,1023.49,1024.97,1022.69,1023.88
2020-02-25 14:30,1023.42,1023.42,1021.13,1023.26
2020-02-25 14:15,1027.54,1027.54,1023.4,1023.4
2020-02-25 14:00,1029.76,1029.76,1026.12,1027.42
2020-02-25 13:45,1032.83,1032.83,1029.86,1029.88
2020-02-25 13:30,1032.73,1032.85,1031.47,1032.85
2020-02-25 13:15,1034.6,1034.71,1032.88,1032.9
2020-02-25 13:00,1034.67,1035.39,1034.12,1034.65
2020-02-25 12:45,1035.52,1035.52,1034.42,1034.67
2020-02-25 12:30,1035.79,1037.42,1035.49,1035.55
2020-02-25 12:15,1036.91,1036.93,1035.17,1035.77
2020-02-25 12:00,1037.34,1037.79,1036.91,1037.04
2020-02-25 11:45,1036.48,1038.22,1036.48,1037.35
2020-02-25 11:30,1037.35,1038.41,1036.62,1036.62
2020-02-25 11:15,1037.5,1037.69,1036.27,1037.57
2020-02-25 11:00,1039.09,1039.58,1037.41,1037.54
2020-02-25 10:45,1040.42,1040.42,1036.93,1038.87
2020-02-25 10:30,1038.92,1040.65,1038.26,1040.53
2020-02-25 10:15,1043.21,1043.34,1038.96,1038.96
2020-02-25 10:00,1044.23,1044.96,1043.07,1043.1
2020-02-25 9:45,1045.05,1045.05,1043.01,1044.27
2020-02-25 9:30,1046.34,1047.8,1045.22,1045.22
2020-02-24 16:15,1046.04,1046.04,1046.04,1046.04
2020-02-24 16:00,1046.04,1046.04,1046.04,1046.04
2020-02-24 15:45,1046.43,1047.53,1045.71,1045.71
2020-02-24 15:30,1047.41,1047.59,1046.27,1046.43
2020-02-24 15:15,1047.39,1048.01,1047.2,1047.54
2020-02-24 15:00,1047.89,1048.39,1047.36,1047.41
2020-02-24 14:45,1047.02,1048.12,1046.98,1047.81
2020-02-24 14:30,1046.38,1047.36,1046.32,1047.02
2020-02-24 14:15,1044.53,1046.42,1044.53,1046.36
